grid,node,unit,input_output,dummy,capacity,useInitialGeneration,initialGeneration,conversionCoeff,maxRampUp,maxRampDown,upperLimitCapacityRatio,unitSize,invCosts,annuity,fomCosts,vomCosts,startCostHot,startCostWarm,startCostCold,startFuelConsHot,startfuelConsWarm,startFuelConsCold
all,Nuclear,U_PL00_nuclear,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Nuclear,U_UK00_nuclear,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Lightoil,U_DE00_LFO,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Lightoil,U_UK00_LFO,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_SE02_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE02_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE02_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_SE02_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_SE03_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE03_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE03_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_SE03_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_SE04_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE04_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_SE04_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_SE04_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_DE00_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_DE00_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_DE00_dheat_CHPcoal,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DE00_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_PL00_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_PL00_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Hardcoal,U_PL00_dheat_CHPcoal,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_PL00_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_PL00_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_DKE1_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_DKE1_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_DKE1_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_DKE1_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_DKE1_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Helsinki_dheat_CCGTCHPgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Helsinki_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Helsinki_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Helsinki_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Tampere_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Tampere_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Tampere_dheat_CCGTCHPgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Jyvaskyla_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Jyvaskyla_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Turku_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Turku_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Turku_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_Vantaa_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Vantaa_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Vantaa_dheat_CCGTCHPgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Vantaa_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_Oulu_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Oulu_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_Espoo_dheat_HOBgas,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_Espoo_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,MSW,U_FI00_others_dheat_CHPwaste,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_FI00_others_dheat_CHPbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Biomass,U_FI00_others_dheat_HOBbio,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Heavyoil,U_FI00_others_dheat_HOBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Blackliquor,U_FI00industry_CHPrecboiler,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Gas,U_LT00_gasCCGTpresent1,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Nuclear,U_FI00_nuclear,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,Nuclear,U_SE03_nuclear,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE02_elec,U_SE02_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE03_elec,U_SE03_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE04_elec,U_SE04_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_elec,U_DE00_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_elec,U_PL00_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_elec,U_PL00_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKE1_elec,U_DKE1_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKE1_elec,U_DKE1_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Helsinki_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Helsinki_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Tampere_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Tampere_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Jyvaskyla_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Turku_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Turku_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Vantaa_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Oulu_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Oulu_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Espoo_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_Espoo_dheat_EBoil,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_FI00_others_dheat_GSHP,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_FI00_elysis,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE01_elec,U_SE01_elysis,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_elec,U_DE00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKE1_elec,U_DKE1_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKW1_elec,U_DKW1_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,EE00_elec,U_EE00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_elec,U_FI00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_elec,U_FR00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LT00_elec,U_LT00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LV00_elec,U_LV00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NL00_elec,U_NL00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOM1_elec,U_NOM1_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NON1_elec,U_NON1_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOS0_elec,U_NOS0_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_elec,U_PL00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE01_elec,U_SE01_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE02_elec,U_SE02_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE03_elec,U_SE03_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE04_elec,U_SE04_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,UK00_elec,U_UK00_Batterychar,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_elec,U_DE00_psclosedpump,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_elec,U_FR00_psclosedpump,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LT00_elec,U_LT00_psclosedpump,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_elec,U_PL00_psclosedpump,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,UK00_elec,U_UK00_psclosedpump,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_reservoir,U_DE00_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_reservoir,U_FI00_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_reservoir,U_FR00_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_reservoir,U_PL00_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE01_reservoir,U_SE01_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE02_reservoir,U_SE02_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE03_reservoir,U_SE03_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE04_reservoir,U_SE04_reservoirTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_ror,U_DE00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_ror,U_FR00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LT00_ror,U_LT00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LV00_ror,U_LV00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NL00_ror,U_NL00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_ror,U_PL00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,UK00_ror,U_UK00_rorTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_psOpen,U_DE00_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_psOpen,U_FR00_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOM1_psOpen,U_NOM1_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NON1_psOpen,U_NON1_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOS0_psOpen,U_NOS0_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_psOpen,U_PL00_psOpenTurbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_psClosed,U_DE00_psclosedturbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_psClosed,U_FR00_psclosedturbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LT00_psClosed,U_LT00_psclosedturbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_psClosed,U_PL00_psclosedturbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,UK00_psClosed,U_UK00_psclosedturbine,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_hydrogen,U_FI00_hydrogenOCGT,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE01_hydrogen,U_SE01_hydrogenOCGT,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_batterystor,U_DE00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKE1_batterystor,U_DKE1_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DKW1_batterystor,U_DKW1_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,EE00_batterystor,U_EE00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FI00_batterystor,U_FI00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,FR00_batterystor,U_FR00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LT00_batterystor,U_LT00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,LV00_batterystor,U_LV00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NL00_batterystor,U_NL00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOM1_batterystor,U_NOM1_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NON1_batterystor,U_NON1_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,NOS0_batterystor,U_NOS0_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,PL00_batterystor,U_PL00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE01_batterystor,U_SE01_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE02_batterystor,U_SE02_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE03_batterystor,U_SE03_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,SE04_batterystor,U_SE04_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,UK00_batterystor,U_UK00_Batterydisch,input,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
all,DE00_elec,U_DE00_windOffshore,output,,20000,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0
all,DKE1_elec,U_DKE1_windOffshore,output,,1300,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0
all,DKW1_elec,U_DKW1_windOffshore,output,,6135,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0
